date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:59	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2019%20May%202020%2015:46:58%20GMT	https://7-arras.glitch.me/robots.txt		(from )
09:46:59	13364/13364	---M--	200	added ('OK')	text/html	etag:W/%223434-16efef04308%22	https://7-arras.glitch.me/	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/index.html	(from )
09:47:00	30989/30989	---M--	200	added ('OK')	image/png	etag:%2291e687fe048cdf44c88d2f29cbb3c4a8%22	https://cdn.glitch.com/230a86a4-d227-49d1-ab30-da980753d887%2FScreenshot%202019-12-09%20at%2021.34.02%20(1).png?v=1575927508047	/home/jbx2050/websites/https://7-arras.glitch.me/cdn.glitch.com/230a86a4-d227-49d1-ab30-da980753d887/Screenshot%202019-12-09%20at%2021.34.02%20(1)0027.png	(from https://7-arras.glitch.me/)
09:47:02	454/454	---MC-	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2015:47:01%20GMT	https://fonts.googleapis.com/css?family=Ubuntu:400,700	/home/jbx2050/websites/https://7-arras.glitch.me/fonts.googleapis.com/cssb492.css	(from https://7-arras.glitch.me/)
09:47:02	19624/19624	---M--	200	added ('OK')	text/css	etag:W/%224ca8-16efede8fc8%22	https://7-arras.glitch.me/main.css	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/main.css	(from https://7-arras.glitch.me/)
09:47:03	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2019%20May%202020%2015:47:03%20GMT	https://7-arras.glitch.me/favicon/manifest.json	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/favicon/manifest.json	(from https://7-arras.glitch.me/)
09:47:05	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2019%20May%202020%2015:47:05%20GMT	https://7-arras.glitch.me/sw.js	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/sw.js	(from https://7-arras.glitch.me/)
09:47:07	239508/239508	---M--	200	added ('OK')	application/javascript	etag:W/%223a794-16f87040810%22	https://7-arras.glitch.me/bundle.js	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/bundle.js	(from https://7-arras.glitch.me/)
09:47:08	6712463/6712463	---M--	200	added ('OK')	audio/ogg	etag:%224e7edfc4d4f00b1e5aca493f0148b50e%22	https://cdn.glitch.com/422b15e2-f753-4478-a44e-3e03302341de%2Fbossfightelevatia.ogg?v=1573813694859	/home/jbx2050/websites/https://7-arras.glitch.me/cdn.glitch.com/422b15e2-f753-4478-a44e-3e03302341de/bossfightelevatiaaffe.ogg	(from https://7-arras.glitch.me/)
09:47:08	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2019%20May%202020%2015:47:07%20GMT	https://fonts.googleapis.com/robots.txt		(from https://7-arras.glitch.me/)
09:47:08	239508/239508	UR-M--	200	added ('Partial%20Content')	application/javascript	date:Wed,%2008%20Jan%202020%2021:16:26%20GMT	https://7-arras.glitch.me/bundle.js	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/bundle.js	(from https://7-arras.glitch.me/)
09:47:08	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2019%20May%202020%2015:47:08%20GMT	https://cdn.glitch.com/422b15e2-f753-4478-a44e-3e03302341de%2Fbossfightelevatia.ogg?v=1573813694859	/home/jbx2050/websites/https://7-arras.glitch.me/cdn.glitch.com/422b15e2-f753-4478-a44e-3e03302341de/bossfightelevatiaaffe.ogg	(from https://7-arras.glitch.me/)
09:47:08	42967/42967	---M--	200	added ('OK')	image/png	etag:%224b5af3757e7115aeee24414d92590f95%22	https://cdn.glitch.com/230a86a4-d227-49d1-ab30-da980753d887%2Fddd.png?v=1575928059181	/home/jbx2050/websites/https://7-arras.glitch.me/cdn.glitch.com/230a86a4-d227-49d1-ab30-da980753d887/ddd39a5.png	(from https://7-arras.glitch.me/main.css)
09:47:09	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2019%20May%202020%2015:47:09%20GMT	https://7-arras.glitch.me/img/discord.svg	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/img/discord.svg	(from https://7-arras.glitch.me/main.css)
09:47:11	22403/22403	---M--	200	added ('OK')	image/gif	etag:%225cd7aa9fdd1aa391c8629e9a1dc1a35c%22	https://i.stack.imgur.com/poux8.gif	/home/jbx2050/websites/https://7-arras.glitch.me/i.stack.imgur.com/poux8.gif	(from https://7-arras.glitch.me/main.css)
09:47:11	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2019%20May%202020%2015:47:11%20GMT	https://7-arras.glitch.me/background.png	/home/jbx2050/websites/https://7-arras.glitch.me/7-arras.glitch.me/background.png	(from https://7-arras.glitch.me/main.css)
